id,identifier,familySituation,numberOfChildren,MaleTitle,MaleFirstName,MaleMiddleName,MaleFamilyName,MaleDateOfBirth,MaleEmail,FemaleTitle,FemaleFirstName,FemaleMiddleName,FemaleFamilyName,FemaleDateOfBirth,FemaleEmail,AgeDifferenceSpouse,Child1Title,Child1FirstName,Child1MiddleName,Child1DateOfBirth,Child1Gender,Child1Email,Child2Title,Child2FirstName,Child2MiddleName,Child2DateOfBirth,Child2Gender,Child2Email,Child3Title,Child3FirstName,Child3MiddleName,Child3DateOfBirth,Child3Gender,Child3Email,Child4Title,Child4FirstName,Child4MiddleName,Child4DateOfBirth,Child4Gender,Child4Email,Child5Title,Child5FirstName,Child5MiddleName,Child5DateOfBirth,Child5Gender,Child5Email,Addr2,PostCode,City,Province,CountryCode,startDateCommitment,lengthCommitment,lengthCommitmentUnit,fieldCommitment
70,70,singleWoman,1,Mr.,Alfons,,Röttger,1991-10-05T00:00:00,alfonsroettger@ukqnpcvue.com,Mrs.,Ute,,Loos,1991-09-10T01:00:00,uteloos@yahoo.com,-5,Mrs.,Jutta,,2005-12-13T23:00:00,FEMALE,juttahering@toixa.net,Mrs.,Kornelia,,2008-12-07T23:00:00,FEMALE,kheller@seimckykvkl.net,Mr.,Egon,Dieter,2009-05-20T00:00:00,MALE,egon.knorr@yahoo.com,Mr.,Berthold,,1998-05-02T00:00:00,MALE,berthold.scheck@xas.com,Mr.,Werner,Franz,2007-11-29T23:00:00,MALE,wernerbock@ltbyduqkefp.net,Schützenstraße 37,17506,Gribow,Mecklenburg-Vorpommern,DE,2012-08-31T00:00:00,0,week,238
71,71,family,2,Mr.,Josef,,Hildebrand,1976-08-24T00:00:00,josef_hildebrand@aol.com,Mrs.,Anke,,Strobel,1945-08-03T02:00:00,anke.strobel@yahoo.com,3,Mrs.,Amalie,,2002-02-18T23:00:00,FEMALE,amalie.kraemer@bbqkxbirroor.fr,Mr.,Bernd,,2005-03-03T23:00:00,MALE,bernd_habermann@sgrw.us,Mr.,Hans,Wilhelm,2012-03-18T23:00:00,MALE,hans.wolf@hans-herrmann.de,Mr.,Frank,Thomas,2003-08-04T00:00:00,MALE,fehrmann@oltzb.de,Mr.,Marko,,2000-10-30T23:00:00,MALE,mherold@pulses.us,Bahnhofstraße 16,67746,Unterjeckenbach,Rheinland-Pfalz,DE,2010-08-24T00:00:00,4,year,266
72,72,singleMan,1,Mr.,Robert,,König,1993-01-29T00:00:00,robert_koenig@hzi.org,Mrs.,Regina,,Peters,1927-03-17T00:00:00,regina_peters@iirpqfqa.de,5,Mr.,Andre,,2000-12-14T23:00:00,MALE,abehling@gerd-loos.net,Mr.,Kurt,,2011-08-21T00:00:00,MALE,kschoen@verlnsqodnwa.de,Mr.,Wolfgang,,2005-07-02T00:00:00,MALE,wolfgangdressler@zvyryfh.com,Mrs.,Ingeburg,Brigitte,2010-09-12T00:00:00,FEMALE,iretzlaff@cquw.de,Mrs.,Hildegard,,2004-12-18T23:00:00,FEMALE,hildegardstiller@hermann-ahrens.com,Friedhofstraße 1,39249,Pömmelte,Sachsen-Anhalt,DE,2011-01-03T00:00:00,2,week,38
73,73,singleMan,5,Mr.,Jochen,Manfred,Wohlfahrt,1991-11-05T00:00:00,jochen_wohlfahrt@yahoo.com,Mrs.,Christine,,Stingl,1969-08-12T00:00:00,christine_stingl@yahoo.com,-1,Mrs.,Frieda,,2010-05-18T00:00:00,FEMALE,frieda.schade@eesric.de,Mr.,Alfonso,Rudolf,2002-07-11T00:00:00,MALE,alfonso.deutschmann@yahoo.com,Mr.,Norbert,,2006-04-20T00:00:00,MALE,nbecker@vhedourzayqx.us,Mrs.,Dora,,2008-12-04T23:00:00,FEMALE,dlux@techsphere.us,Mrs.,Kerstin,Luise,2010-08-08T00:00:00,FEMALE,kschaefer@gmail.com,Marktplatz 1,4895,Fermerswalde,Brandenburg,DE,2009-11-23T00:00:00,0,week,172
74,74,singleMan,2,Mr.,Udo,,Schmalz,1920-04-14T00:00:00,udoschmalz@wpidamyhha.ch,Mrs.,Marianne,,Nagel,1963-12-16T00:00:00,marianne.nagel@vjuhnk.fr,-3,Mr.,Hans-Dieter,,2010-04-24T00:00:00,MALE,hvogel@jnmtxk.org,Mrs.,Sibylle,,2003-12-30T23:00:00,FEMALE,sibylleglaeser@dwwnb.com,Mr.,Werner,,2007-09-09T00:00:00,MALE,werner.ulbrich@envalon.de,Mrs.,Irene,,2002-04-15T00:00:00,FEMALE,irene.dudek@willi-wagner.net,Mr.,Alfred,,2011-10-12T00:00:00,MALE,adamm@ajhq.com,Waldstraße 24,14715,Glien,Brandenburg,DE,2011-07-20T00:00:00,3,week,182
75,75,singleWoman,4,Mr.,Rudolf,,Cramer,1922-11-29T00:00:00,rcramer@drwg.com,Mrs.,Anna,Ulrike,Gericke,1985-03-19T00:00:00,agericke@cjigwip.com,2,Mrs.,Martha,,2003-07-10T00:00:00,FEMALE,martha_horst@aamu.de,Mrs.,Doris,,2002-07-15T00:00:00,FEMALE,dkirchner@qdadbjtoctvr.com,Mr.,Hans-Jürgen,,2006-02-17T23:00:00,MALE,hgerke@hotmail.com,Mrs.,Angelika,,2002-01-22T23:00:00,FEMALE,angelika.schmidt@erl.net,Mr.,Gottfried,,2005-02-15T23:00:00,MALE,gottfried.schneider@karl-flaig.com,Ringstraße 8,54597,Kinzenburg,Rheinland-Pfalz,DE,2012-12-15T00:00:00,4,month,133
76,76,family,3,Mr.,Uwe,,Evers,1967-05-22T00:00:00,uevers@hotmail.com,Mrs.,Lisa,,Schöttler,1949-07-20T01:00:00,lschoettler@kuy.com,2,Mrs.,Ria,,2003-02-07T23:00:00,FEMALE,riastork@freeshop.com,Mrs.,Erna,,2002-04-27T00:00:00,FEMALE,ernaschroeter@ele.com,Mrs.,Dagmar,,1998-05-09T00:00:00,FEMALE,dagmarzacharias@yahoo.com,Mrs.,Helga,,1998-09-20T00:00:00,FEMALE,helgahinzmann@hotmail.com,Mr.,Helmut,,2007-08-19T00:00:00,MALE,hgottschalk@smartsphere.de,Schulweg 2,39264,Nutha,Sachsen-Anhalt,DE,2012-12-17T00:00:00,2,month,19
77,77,family,3,Mr.,Hans-Jürgen,,Kiefer,1953-07-26T00:00:00,hans-juergen.kiefer@envagon.ch,Mrs.,Rebecca,,Esser,1923-06-27T00:00:00,rebecca_esser@tctczeuhgb.at,-1,Mrs.,Annemarie,,2007-08-29T00:00:00,FEMALE,annemariephilipp@compunet.com,Mrs.,Barbara,Maria,2002-06-13T00:00:00,FEMALE,barbara.kranz@onr.com,Mrs.,Anita,,2003-07-16T00:00:00,FEMALE,anita_brand@quwmrnwmvdt.at,Mr.,Johann,,1999-10-21T00:00:00,MALE,jschmid@fyvcztl.com,Mrs.,Barbara,,1999-03-04T23:00:00,FEMALE,barbarahau@hermann-schneider.de,Grüner Weg 23,31091,Coppengrave,Niedersachsen,DE,2009-06-18T00:00:00,4,month,168
78,78,family,3,Mr.,Dirk,,Blessing,1974-09-04T00:00:00,dirk.blessing@oliver-sieg.net,Mrs.,Sybille,Bettina,Schüler,1960-06-30T00:00:00,sybille_schueler@hotmail.com,5,Mrs.,Sabine,Vera,2006-05-15T00:00:00,FEMALE,sschell@jfybfgs.com,Mr.,Moritz,,2008-02-22T23:00:00,MALE,moritz_mueller@mrx.com,Mr.,Norbert,,2008-01-05T23:00:00,MALE,norbert.franke@uiawd.de,Mrs.,Maria,,2004-06-22T00:00:00,FEMALE,marendt@ptxngwoqxgp.net,Mrs.,Christa,,2011-09-26T00:00:00,FEMALE,christa.dunkel@ozfdck.fr,Gartenstraße 5,83546,Schachen,Bayern,DE,2010-11-26T00:00:00,5,month,71
79,79,singleWoman,3,Mr.,Günter,,Weiss,1982-01-21T00:00:00,guenterweiss@illumon.us,Mrs.,Karin,Clara,Hoffmann,1908-04-15T00:00:00,khoffmann@pfxbwctkqhz.com,2,Mr.,Uwe,,1998-04-09T00:00:00,MALE,uwewolff@wkxdbccu.de,Mr.,Wolfgang,,2010-09-04T00:00:00,MALE,wgrund@henning-hecker.com,Mr.,Gerd,,2004-08-14T00:00:00,MALE,glehmann@yahoo.com,Mrs.,Susanne,,1999-07-14T00:00:00,FEMALE,susanne.schumacher@erutmoem.com,Mr.,Karl-Heinz,,2011-12-22T23:00:00,MALE,karl-heinzhentschel@ilctpaufdj.net,Gartenstraße 18,99947,Bothenheilingen,Thüringen,DE,2009-08-09T00:00:00,2,year,170
80,80,family,3,Mr.,Helmut,,Sommer,1948-03-31T00:00:00,hsommer@yahoo.com,Mrs.,Irmgard,,Kramer,1966-04-16T00:00:00,ikramer@hotmail.com,-1,Mrs.,Karin,,1998-10-21T00:00:00,FEMALE,karin.hartmann@hotmail.com,Mr.,Michael,,2006-07-03T00:00:00,MALE,michaelhaake@yahoo.com,Mrs.,Jasmin,,2010-09-09T00:00:00,FEMALE,jasmin_melcher@azobg.com,Mr.,Mathias,,1997-12-11T23:00:00,MALE,mathias_becker@rmzzsgala.com,Mr.,Rudi,,1996-10-21T00:00:00,MALE,rbecker@hotmail.com,Raiffeisenstraße 38,54584,Jünkerath,Rheinland-Pfalz,DE,2012-03-04T00:00:00,1,year,114
81,81,singleMan,3,Mr.,Ingo,,Wirtz,1981-07-30T01:00:00,ingo.wirtz@aol.com,Mrs.,Gisela,Katja,Marquardt,1971-07-02T00:00:00,gmarquardt@friedrich-thomas.org,1,Mrs.,Karin,,2009-11-08T23:00:00,FEMALE,karinherrmann@yahoo.com,Mrs.,Georgia,Antonia,2001-11-13T23:00:00,FEMALE,gdressler@yahoo.com,Mrs.,Nelli,Else,2006-01-04T23:00:00,FEMALE,nellihenning@hotmail.com,Mrs.,Irmgard,,2009-02-14T23:00:00,FEMALE,irmgardhoermann@waldemar-schroer.net,Mr.,Andre,,1997-09-26T00:00:00,MALE,andrereuter@yourcity.de,Jahnstraße 20,4509,Selben,Sachsen,DE,2012-03-26T00:00:00,3,year,128
82,82,family,5,Mr.,Peter,Reinhard,Weiß,1973-09-20T00:00:00,pweiss@xcplfisuzm.de,Mrs.,Angelika,,Fleckenstein,1922-02-19T00:00:00,angelika_fleckenstein@aol.com,0,Mr.,Lothar,,2011-08-15T00:00:00,MALE,lmayer@yahoo.com,Mr.,Franz,,1998-05-30T00:00:00,MALE,franz.roth@ifvpfbus.de,Mr.,Hermann,,2001-08-16T00:00:00,MALE,hermann.baeuerle@uutvzpzdyerw.com,Mrs.,Barbara,,2011-09-11T00:00:00,FEMALE,barbara_heitz@bwv.com,Mr.,Andreas,,2002-08-07T00:00:00,MALE,andreasklumpp@martin-wolf.us,Gartenstraße 2,94501,Beutelsbach,Bayern,DE,2009-02-22T00:00:00,2,month,95
83,83,family,0,Mr.,Jens,,Yildiz,1960-02-19T00:00:00,jens_yildiz@rxvhg.net,Mrs.,Karla,,Gräber,1983-12-11T00:00:00,karla.graeber@yahoo.com,0,Mr.,Alfred,,2000-04-24T00:00:00,MALE,alfred_stoecker@whyl.com,Mrs.,Bernadette,,2010-12-08T23:00:00,FEMALE,bernadette.rotter@conergy.net,Mr.,Arnold,,2002-09-03T00:00:00,MALE,arnold_berger@gmail.com,Mrs.,Anita,,2002-01-19T23:00:00,FEMALE,anita.dammann@johannes-stadler.net,Mrs.,Tatjana,,2007-05-04T00:00:00,FEMALE,tatjanaehrlich@hotmail.com,Bergstraße 31,6779,Salzfurtkapelle,Sachsen-Anhalt,DE,2011-06-08T00:00:00,2,month,221
84,84,singleMan,4,Mr.,Hubert,,Dippel,1992-06-18T01:00:00,hdippel@hotmail.com,Mrs.,Jutta,,Helfrich,1939-05-12T00:00:00,juttahelfrich@ruediger-effenberger.com,-1,Mrs.,Anja,,1996-07-17T00:00:00,FEMALE,anja_graf@ejjte.de,Mr.,Maximilian,,2000-02-07T23:00:00,MALE,maximiliankunze@oahhojj.org,Mr.,Jürgen,,2007-01-30T23:00:00,MALE,jkrueger@yahoo.com,Mr.,Reiner,,1999-09-10T00:00:00,MALE,reiner_seidel@rolsieys.net,Mr.,Axel,,1998-10-14T00:00:00,MALE,axel_mueller@christian-knabe.com,Kastanienweg 20,17509,Kemnitz,Mecklenburg-Vorpommern,DE,2010-03-15T00:00:00,3,month,81
85,85,family,3,Mr.,Christian,,Topp,1928-04-11T00:00:00,ctopp@aol.com,Mrs.,Brigitte,Kerstin,Schramm,1966-01-27T00:00:00,brigitte.schramm@racndoymea.com,-2,Mrs.,Lieselotte,,2011-10-03T00:00:00,FEMALE,lieselotte_neumeier@arno-jauch.us,Mrs.,Elisabeth,Klara,2003-11-08T23:00:00,FEMALE,elisabeth_schreiber@yahoo.com,Mrs.,Brigitte,,2005-12-04T23:00:00,FEMALE,bmeister@pai.net,Mr.,Dennis,,2004-11-15T23:00:00,MALE,dschneider@yahoo.com,Mr.,Rainer,,1998-11-22T23:00:00,MALE,rainer.krenz@yahoo.com,Gartenstraße 10,21647,Moisburg,Niedersachsen,DE,2011-11-29T00:00:00,3,month,158
86,86,singleWoman,4,Mr.,Helmut,,Rathmann,1937-10-19T00:00:00,hrathmann@vgt.at,Mrs.,Anne,Katrin,Holz,1914-05-05T00:00:00,aholz@yahoo.com,-4,Mr.,Harald,Manfred,2001-06-23T00:00:00,MALE,harald.streit@uchf.com,Mr.,Frank,,1999-08-03T00:00:00,MALE,frankhanke@aurartis.com,Mr.,Jörg,,1997-03-02T23:00:00,MALE,joergdittmann@rnr.net,Mrs.,Anna,Gisela,2004-07-10T00:00:00,FEMALE,anna.hiller@yahoo.com,Mr.,Heinrich,,1996-08-22T00:00:00,MALE,heinrich_petri@jan-kuntze.fr,Goethestraße 30,23974,Boiensdorf,Mecklenburg-Vorpommern,DE,2009-02-12T00:00:00,1,week,154
87,87,singleWoman,2,Mr.,Thomas,,Reiß,1915-01-07T00:00:00,treiss@yahoo.com,Mrs.,Barbara,,Altmann,1966-12-25T00:00:00,barbara_altmann@msn.com,3,Mr.,Christian,Helmut,2011-05-15T00:00:00,MALE,christian.stern@pulsional.net,Mrs.,Frieda,,2002-01-23T23:00:00,FEMALE,friedazorn@xdwn.at,Mr.,Jürgen,,1999-02-20T23:00:00,MALE,juergenkrupp@gdnqninmgitt.net,Mr.,Hermann,,2008-04-24T00:00:00,MALE,hkiessling@hotmail.com,Mr.,Rudolf,,2006-11-16T23:00:00,MALE,rudolf.bielefeld@gmail.com,Kastanienweg 43,88145,Opfenbach,Bayern,DE,2010-09-07T00:00:00,0,week,43
88,88,singleWoman,4,Mr.,Wolfgang,,Koller,1909-11-27T00:00:00,wkoller@skusnoh.net,Mrs.,Maria,,Mühlbauer,1941-12-16T01:00:00,maria_muehlbauer@arqualon.com,1,Mrs.,Nadine,Johanna,2009-01-17T23:00:00,FEMALE,nadinebrockmann@synaxandor.com,Mrs.,Carola,,2012-01-13T23:00:00,FEMALE,carola_heiss@owtdqcri.com,Mr.,Herbert,,2003-11-11T23:00:00,MALE,herbertwendland@dbhqwkseft.net,Mr.,Erhard,Hans,2011-09-24T00:00:00,MALE,erhard.knoll@orhan-ulbricht.fr,Mr.,Erich,,2004-01-09T23:00:00,MALE,erichritter@hotmail.com,Am Bahnhof 10,6618,Janisroda,Sachsen-Anhalt,DE,2009-06-16T00:00:00,1,month,80
89,89,family,2,Mr.,Günter,Ludwig,Schütz,1910-12-28T00:00:00,gschuetz@hermann-abel.net,Mrs.,Traudl,,Weil,1909-11-05T00:00:00,traudl_weil@hotmail.com,-5,Mr.,Dieter,,1997-11-24T23:00:00,MALE,dieter_hein@albar.org,Mr.,Gerd,,1999-06-13T00:00:00,MALE,ggruenberg@yahoo.com,Mrs.,Christa,,2006-03-07T23:00:00,FEMALE,christa.schuermann@peter-schubert.com,Mrs.,Irmgard,,2004-10-26T00:00:00,FEMALE,irosenberger@envum.com,Mr.,Werner,,2011-09-04T00:00:00,MALE,werner.keller@grl.us,Schulstraße 41,71739,Oberriexingen,Baden-Württemberg,DE,2009-05-25T00:00:00,2,week,168
90,90,singleWoman,4,Mr.,Tim,,Beckers,1967-10-22T00:00:00,tbeckers@yahoo.com,Mrs.,Gabriele,,Sorge,1948-07-04T01:00:00,gabrielesorge@pentis.be,-2,Mr.,Werner,,2005-01-25T23:00:00,MALE,wernerbohne@picyykwbr.de,Mr.,Karl-Heinz,,1997-12-26T23:00:00,MALE,karl-heinz_doerner@yahoo.com,Mr.,Veit,,1998-10-13T00:00:00,MALE,veitbretschneider@gmail.com,Mr.,Ewald,,2010-06-07T00:00:00,MALE,ewald_knueppel@oiksadvyecib.com,Mr.,Dieter,,1998-11-12T23:00:00,MALE,dieterschuemann@gerhard-sommer.at,Birkenstraße 35,24326,Kalübbe,Schleswig-Holstein,DE,2009-05-17T00:00:00,3,week,55
91,91,family,5,Mr.,Heinz,,Wolfram,1935-05-13T00:00:00,heinz_wolfram@pgo.us,Mrs.,Christa,,Kastner,1924-11-14T00:00:00,ckastner@medes.de,4,Mr.,Gerhard,Hans-Joachim,2005-10-27T00:00:00,MALE,gerhardhahn@fnqihuf.org,Mr.,Walter,,2010-07-08T00:00:00,MALE,walter_weyers@hotmail.com,Mrs.,Karin,,2001-05-17T00:00:00,FEMALE,kdickmann@aol.com,Mrs.,Margret,,1999-08-07T00:00:00,FEMALE,margretdoering@ffg.fr,Mr.,Karl-Heinz,,2009-06-06T00:00:00,MALE,karl-heinz_schlesinger@fmq.com,Mühlweg 50,27251,Neuenkirchen,Niedersachsen,DE,2011-01-23T00:00:00,1,week,132
92,92,singleMan,5,Mr.,Gerhard,,Neumann,1907-08-19T00:00:00,gerhardneumann@qvdama.us,Mrs.,Daniela,,Schultz,1924-10-06T00:00:00,danielaschultz@penton.de,1,Mr.,Hasan,,2005-04-25T00:00:00,MALE,hasan.zimmermann@hotmail.com,Mr.,Ulrich,Rüdiger,1997-08-25T00:00:00,MALE,ulrich.draeger@tencum.net,Mrs.,Sieglinde,,2006-04-01T00:00:00,FEMALE,sieglindesommer@heinz-stegmann.org,Mrs.,Roswitha,,2009-08-22T00:00:00,FEMALE,roswithanowak@jloquauj.com,Mrs.,Renate,,2000-10-21T00:00:00,FEMALE,renatekeller@hotmail.com,Birkenweg 2,84576,Teising,Bayern,DE,2011-01-29T00:00:00,3,year,279
93,93,family,2,Mr.,Marco,,Herdt,1958-11-14T00:00:00,marco_herdt@yahoo.com,Mrs.,Martina,,Fiedler,1937-01-21T00:00:00,martinafiedler@ymplbskpal.us,-2,Mr.,Thorsten,,2001-08-10T00:00:00,MALE,thorsten_schmidt@illumon.us,Mr.,Andreas,Günter,2008-03-05T23:00:00,MALE,andreas_kern@yahoo.com,Mrs.,Elke,Jennifer,2008-05-29T00:00:00,FEMALE,elkelehmann@jaroslaw-poeschl.net,Mr.,Roland,,2010-10-09T00:00:00,MALE,rlorenzen@yahoo.com,Mr.,Karl,,2004-10-26T00:00:00,MALE,karl.ott@pulsium.edu,Mühlenstraße 7,17111,Beestland,Mecklenburg-Vorpommern,DE,2011-11-21T00:00:00,3,week,223
94,94,singleMan,0,Mr.,Stefan,,Bittner,1913-12-24T00:00:00,stefan.bittner@yahoo.com,Mrs.,Klaudia,,Heim,1929-11-28T00:00:00,kheim@hotmail.com,5,Mrs.,Maria,,2011-07-16T00:00:00,FEMALE,maria_gottwald@aol.com,Mrs.,Emilie,,1996-05-07T00:00:00,FEMALE,eseverin@ralph-geib.com,Mrs.,Kathrin,,1996-08-06T00:00:00,FEMALE,kathrinsteininger@herbert-stenzel.com,Mrs.,Gisela,,2005-11-04T23:00:00,FEMALE,gisela_storch@karl-heinz-paul.edu,Mr.,Rudi,,1997-04-20T00:00:00,MALE,rudi_stephan@novium.fr,Schillerstraße 12,21521,Aumühle,Schleswig-Holstein,DE,2010-12-30T00:00:00,4,month,89
95,95,singleMan,0,Mr.,Hans,Manfred,Sydow,1918-02-04T00:00:00,hsydow@fnh.fr,Mrs.,Annette,,Wolff,1920-07-19T00:00:00,annette_wolff@gmail.com,2,Mr.,Gerhard,,2003-08-02T00:00:00,MALE,gabele@fsttvrz.com,Mr.,Hans-Jürgen,,2011-11-05T23:00:00,MALE,hans-juergen_koch@aol.com,Mr.,Ernst,Hans-Heinrich,2000-09-24T00:00:00,MALE,ekracht@franz-weiland.com,Mrs.,Angela,,2005-01-04T23:00:00,FEMALE,angela.petersen@yahoo.com,Mr.,Wilhelm,Torsten,2000-06-24T00:00:00,MALE,wbracht@xiy.org,Lindenstraße 16,91247,Vorra,Bayern,DE,2012-02-21T00:00:00,0,year,4
96,96,singleMan,1,Mr.,Helmut,,Haas,1935-02-13T00:00:00,helmut.haas@mzukowebok.it,Mrs.,Barbara,Christa,Beutel,1956-11-02T00:00:00,bbeutel@kzkovsebdpt.de,5,Mrs.,Karin,Inge,2003-05-03T00:00:00,FEMALE,khelm@hotmail.com,Mr.,Herbert,,1997-05-04T00:00:00,MALE,herbert.weiss@flv.com,Mrs.,Ute,,2009-01-02T23:00:00,FEMALE,uhummel@qpwqbdhp.com,Mr.,Paul,,2004-09-07T00:00:00,MALE,paulgerth@alois-wittmann.ch,Mr.,Erwin,Philipp,2005-06-19T00:00:00,MALE,erwinhoppe@twonbk.de,Bachstraße 12,67680,Eichenbachermühle,Rheinland-Pfalz,DE,2009-02-26T00:00:00,5,month,231
97,97,singleMan,2,Mr.,Friedhelm,,Bauer,1949-03-09T00:00:00,friedhelm_bauer@yahoo.com,Mrs.,Olga,,Glöckner,1938-07-11T00:00:00,olgagloeckner@yahoo.com,4,Mr.,Hartmut,,2009-08-24T00:00:00,MALE,hartmut.pilz@hotmail.com,Mrs.,Ingrid,,2009-04-13T00:00:00,FEMALE,ingrid_trapp@cybercard.com,Mrs.,Alexandra,,2003-10-12T00:00:00,FEMALE,alexandraschramm@bookflash.us,Mrs.,Hilde,,2003-04-06T00:00:00,FEMALE,hilde_heintz@cyeil.net,Mrs.,Dagmar,Martina,2007-08-01T00:00:00,FEMALE,dagmarheinemann@zcznojoym.us,Kiefernweg 30,36284,Hohenroda,Hessen,DE,2011-05-19T00:00:00,4,year,209
98,98,family,4,Mr.,Michael,,Lange,1943-08-21T01:00:00,michael_lange@rxnqdjdofm.com,Mrs.,Gerlinde,,Wessel,1920-03-03T00:00:00,gerlindewessel@hotmail.com,2,Mrs.,Nora,Monika,2004-02-17T23:00:00,FEMALE,nwolf@gkaee.com,Mrs.,Helga,,2006-10-13T00:00:00,FEMALE,hauer@irm.com,Mr.,Rüdiger,,2009-09-29T00:00:00,MALE,rblumenthal@nvfimouude.at,Mrs.,Maria,,2002-06-11T00:00:00,FEMALE,maria_vollmer@willi-schneider.org,Mr.,Martin,,2010-05-07T00:00:00,MALE,martin.brandt@peypb.net,Danziger Straße 19,83483,Bischofswiesen,Bayern,DE,2010-05-26T00:00:00,0,year,96
99,99,singleMan,0,Mr.,Wilhelm,,Sander,1980-05-02T01:00:00,wilhelmsander@gmail.com,Mrs.,Christine,,Dick,1936-08-02T00:00:00,cdick@zyyqsban.com,3,Mrs.,Elisabeth,,2011-04-12T00:00:00,FEMALE,elisabethjacob@zqkggukgu.ch,Mrs.,Helene,,1996-06-24T00:00:00,FEMALE,heleneklein@stzyemdewlq.com,Mr.,Martin,,2001-09-29T00:00:00,MALE,martin.brueckmann@clqqxzgrese.de,Mrs.,Barbara,,2009-05-26T00:00:00,FEMALE,bniehues@xul.com,Mr.,Johann,Manfred,1999-06-09T00:00:00,MALE,jtolksdorf@vxpib.com,Gartenstraße 1,6928,Steinsdorf,Sachsen-Anhalt,DE,2010-11-12T00:00:00,4,week,172
100,100,singleWoman,1,Mr.,Martin,,Gebauer,1991-05-21T01:00:00,martin_gebauer@ziaknirenzac.com,Mrs.,Christine,,Feldmann,1918-09-05T01:00:00,christine_feldmann@gmail.com,-2,Mrs.,Sabine,,2006-02-05T23:00:00,FEMALE,sabine.stark@waldemar-seibert.us,Mrs.,Annemarie,,1999-11-17T23:00:00,FEMALE,annemariekaiser@gmail.com,Mrs.,Anita,,2010-09-23T00:00:00,FEMALE,anita.geiger@yahoo.com,Mrs.,Bärbel,,2005-07-17T00:00:00,FEMALE,baerbel_edelmann@yahoo.com,Mrs.,Maria,,2009-03-02T23:00:00,FEMALE,mariagoebel@oswxnh.de,Am Sportplatz 47,7589,Münchenbernsdorf,Thüringen,DE,2011-02-18T00:00:00,5,year,108
